filename,inference_time_ms,total_signs,Blind-Spot Mirror (Convex),No Entry (One Way),No Through Road (T-Sign),Pedestrian Crossing,Roundabout Ahead,Stop
IMG_20260106_161746_914.jpg,24.64,1,0,1,0,0,0,0
IMG_20260106_162033_174.jpg,23.42,1,0,1,0,0,0,0
IMG_20260106_162103_269.jpg,25.31,1,0,1,0,0,0,0
IMG_20260106_162110_401.jpg,29.65,1,0,0,0,0,0,1
IMG_20260106_162113_716.jpg,26.71,0,0,0,0,0,0,0
IMG_20260106_162304_258.jpg,26.87,1,1,0,0,0,0,0
IMG_20260110_171246_403.jpg,31.03,1,0,0,1,0,0,0
IMG_20260110_172521_196.jpg,31.06,1,0,0,0,1,0,0
IMG_20260110_172523_601.jpg,29.62,1,0,0,0,1,0,0
IMG_20260110_172625_333.jpg,30.8,1,0,0,0,1,0,0
IMG_20260110_172947_725.jpg,91.28,1,0,1,0,0,0,0
IMG_20260110_173014_412.jpg,26.74,1,0,1,0,0,0,0
IMG_20260110_173104_171.jpg,29.27,1,0,1,0,0,0,0
IMG_20260110_173326_716.jpg,35.07,1,1,0,0,0,0,0
IMG_20260110_173508_968.jpg,34.07,1,0,0,0,0,0,1
IMG_20260110_173644_468.jpg,27.95,1,0,0,0,0,0,1
IMG_20260113_082936_743.jpg,29.58,1,1,0,0,0,0,0
IMG_20260113_082952_561.jpg,27.06,1,0,1,0,0,0,0
IMG_20260113_083553_539.jpg,32.59,1,0,0,0,0,0,1
IMG_20260113_083805_099.jpg,34.56,1,0,0,0,1,0,0
IMG_20260113_084957_227.jpg,28.78,1,0,0,0,1,0,0
IMG_20260113_085011_841.jpg,28.1,1,0,0,0,1,0,0
IMG_20260113_085025_925.jpg,31.97,1,0,0,0,0,1,0
IMG_8805.jpeg,45.7,1,0,0,0,0,0,1
IMG_8815.jpeg,24.59,1,0,1,0,0,0,0
wall_stop.jpeg,24.36,1,0,1,0,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.13__1__-_Edited.jpg,19.84,0,0,0,0,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.23__1_.jpeg,15.62,1,0,1,0,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.23__4_.jpeg,16.1,1,0,1,0,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.24__2_.jpeg,15.06,1,0,1,0,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.27__1_.jpeg,14.83,0,0,0,0,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.27__2__-_Edited.jpg,15.54,1,0,1,0,0,0,0
WhatsApp_Image_2025-11-16_at_17.52.28__2_.jpeg,18.66,1,0,0,0,1,0,0
WhatsApp_Image_2025-11-17_at_15.01.43.jpeg,15.12,1,0,0,0,0,1,0
WhatsApp_Image_2025-11-17_at_15.01.44.jpeg,21.1,1,0,0,0,0,0,1
WhatsApp_Image_2025-11-17_at_15.01.48__1_.jpeg,21.37,2,0,2,0,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.50__1_.jpeg,18.17,0,0,0,0,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.50__2_.jpeg,25.1,1,0,1,0,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.53.jpeg,25.29,1,0,0,1,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.57.jpeg,22.34,0,0,0,0,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.57__4_.jpeg,23.21,1,0,0,0,1,0,0
WhatsApp_Image_2025-11-17_at_15.01.58__1_.jpeg,35.28,0,0,0,0,0,0,0
WhatsApp_Image_2025-11-17_at_15.01.59.jpeg,21.7,0,0,0,0,0,0,0
WhatsApp_Image_2025-11-17_at_15.02.00.jpeg,28.53,1,0,0,0,0,0,1
WhatsApp_Image_2025-11-20_at_16.02.59__1_.jpeg,25.36,1,1,0,0,0,0,0
