image_name,detected_count,sign_types,attribute_status
IMG_20260113_083838_411.jpg,1,stop,To be classified
IMG_20260113_083840_660.jpg,1,stop,To be classified
IMG_20260113_084501_771.jpg,1,blind_spot_mirror,To be classified
IMG_20260113_084533_678.jpg,1,no_entry,To be classified
IMG_20260113_084940_280.jpg,1,roundabout_ahead,To be classified
IMG_20260113_084953_901.jpg,1,roundabout_ahead,To be classified
IMG_8813.jpeg,1,no_entry,To be classified
WhatsApp_Image_2025-11-16_at_17.52.13__2__2_-_Edited.jpg,1,blind_spot_mirror,To be classified
WhatsApp_Image_2025-11-16_at_17.52.24__3_.jpeg,1,blind_spot_mirror,To be classified
WhatsApp_Image_2025-11-16_at_17.52.25.jpeg,2,"no_entry, roundabout_ahead",To be classified
WhatsApp_Image_2025-11-16_at_17.52.25__1_.jpeg,1,blind_spot_mirror,To be classified
WhatsApp_Image_2025-11-16_at_17.52.25__4_.jpeg,1,no_entry,To be classified
WhatsApp_Image_2025-11-16_at_17.52.25__5_.jpeg,1,no_entry,To be classified
WhatsApp_Image_2025-11-16_at_17.52.26__2_.jpeg,1,blind_spot_mirror,To be classified
WhatsApp_Image_2025-11-16_at_17.52.28__3_.jpeg,1,roundabout_ahead,To be classified
WhatsApp_Image_2025-11-16_at_17.52.28__5__-_Edited.jpg,1,roundabout_ahead,To be classified
WhatsApp_Image_2025-11-16_at_17.52.29__4_.jpeg,1,no_entry,To be classified
WhatsApp_Image_2025-11-16_at_17.52.29__5_.jpeg,1,no_entry,To be classified
WhatsApp_Image_2025-11-16_at_17.52.30.jpeg,1,roundabout_ahead,To be classified
WhatsApp_Image_2025-11-17_at_12.38.34__2_.jpeg,0,,To be classified
WhatsApp_Image_2025-11-17_at_15.01.47__1_.jpeg,1,roundabout_ahead,To be classified
WhatsApp_Image_2025-11-17_at_15.01.47__2_.jpeg,1,no_entry,To be classified
WhatsApp_Image_2025-11-17_at_15.01.48.jpeg,1,blind_spot_mirror,To be classified
WhatsApp_Image_2025-11-20_at_16.02.59.jpeg,1,stop,To be classified
WhatsApp_Image_2025-11-20_at_16.02.59__2_.jpeg,1,stop,To be classified
WhatsApp_Image_2025-11-20_at_16.56.49__2_.jpeg,1,blind_spot_mirror,To be classified
